Date,Description,Amount,Category
2025-11-01,Grocery Store,-125.50,Food
2025-11-02,Salary Deposit,3500.00,Income
2025-11-03,Electric Bill,-89.23,Utilities
2025-11-05,Coffee Shop,-4.50,Food
2025-11-08,Rent Payment,-1200.00,Housing
2025-11-10,Gas Station,-45.00,Transport
2025-11-12,Restaurant,-35.75,Food
2025-11-15,Freelance Payment,500.00,Income
2025-11-18,Internet Bill,-65.00,Utilities
2025-11-20,Grocery Store,-98.30,Food
2025-11-25,Phone Bill,-50.00,Utilities
2025-11-28,Thanksgiving Dinner,-150.00,Food
